username,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07
Apodex64,2507,2507,2507,2509,2509,2512,2512,2489,2489,2489,2499,2499,2508,2508,2538,2538,2538,2538,2538,2538,2538,2538,2538,2538,2538,2538,2537,2537,2537,2537,2537
Josip_buje,2507,2507,2507,2508,2508,2513,2518,2524,2524,2524,2524,2524,2528,2528,2528,2528,2528,2528,2528,2528,2528,2529,2529,2529,2530,2530,2531,2532,2532,2532,2532
PlemSovhoz,2501,2501,2501,2501,2501,2512,2512,2512,2494,2494,2494,2489,2489,2489,2489,2489,2489,2489,2489,2489,2495,2495,2495,2495,2495,2495,2503,2503,2503,2503,2503
Ragehunter,2460,2460,2460,2460,2440,2440,2440,2448,2448,2448,2448,2448,2441,2441,2441,2447,2447,2456,2464,2464,2464,2464,2464,2464,2464,2458,2465,2472,2472,2484,2484
kc6,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2456,2456,2456,2456,2456,2456,2456,2474,2474,2474,2474,2474
Builder16,2435,2435,2446,2446,2446,2446,2446,2465,2465,2465,2440,2440,2440,2440,2450,2450,2450,2450,2448,2448,2448,2448,2462,2462,2462,2462,2462,2462,2474,2474,2474
OjaiJoao,2451,2451,2451,2451,2453,2453,2445,2446,2448,2448,2448,2448,2448,2451,2453,2468,2468,2475,2484,2484,2484,2491,2494,2494,2465,2471,2471,2471,2471,2471,2471
igormezentsev,2467,2467,2467,2478,2488,2499,2479,2495,2479,2479,2479,2470,2470,2470,2470,2457,2457,2478,2466,2466,2459,2459,2459,2463,2469,2469,2469,2470,2470,2470,2470
Sharkfang,2463,2463,2463,2463,2463,2444,2456,2456,2456,2456,2456,2456,2461,2461,2461,2461,2461,2461,2461,2462,2462,2462,2462,2462,2462,2462,2465,2465,2465,2465,2465
ChessTheory64,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2379,2361,2388,2388,2432,2353,2396,2448,2397,2450,2456,2446,2464,2464
Konnov_Oleg,2452,2452,2452,2452,2452,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2438
Vlad_Lazarev79,2473,2454,2454,2454,2454,2454,2454,2454,2452,2452,2452,2452,2452,2455,2447,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2429,2429,2432,2432,2432
iCe_eNerGyTeaM,2433,2433,2433,2437,2437,2416,2416,2419,2419,2401,2412,2412,2414,2415,2415,2415,2417,2417,2420,2420,2422,2422,2427,2427,2429,2429,2430,2430,2430,2430,2430
AsacoPaco,2421,2421,2423,2423,2423,2423,2423,2412,2416,2420,2420,2422,2424,2424,2424,2424,2424,2424,2424,2424,2424,2429,2423,2416,2416,2416,2416,2416,2416,2418,2418
GreenEyesWolf,2321,2311,2326,2326,2338,2358,2386,2392,2399,2399,2405,2399,2396,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2416,2416,2416,2416,2416,2416,2416,2416
TheGodOfChess10,2404,2404,2412,2412,2405,2405,2405,2405,2405,2405,2405,2405,2405,2405,2411,2411,2416,2416,2420,2420,2420,2420,2420,2420,2437,2437,2437,2437,2437,2407,2407
chess_fighter09,2348,2348,2348,2356,2361,2358,2362,2366,2372,2372,2372,2372,2372,2381,2384,2384,2390,2390,2390,2390,2390,2393,2393,2396,2401,2401,2401,2401,2401,2401,2401
KillaUnknown,2351,2352,2352,2354,2349,2356,2356,2356,2374,2366,2366,2369,2373,2377,2377,2379,2383,2383,2385,2383,2383,2386,2400,2400,2403,2403,2396,2400,2409,2401,2401
Conquerorr39,2366,2366,2366,2366,2366,2385,2385,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2377,2377,2377,2377,2377,2377,2377,2390,2390,2390,2390
repeat_42b,2371,2371,2370,2377,2377,2371,2369,2369,2366,2366,2366,2366,2366,2371,2369,2369,2369,2375,2375,2375,2379,2379,2379,2385,2385,2385,2385,2390,2383,2388,2388
Th3Pho3nix,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2372,2383,2369,2363,2363,2379,2379,2379,2389,2389,2396,2396,2396,2405,2405,2385,2385,2385,2385,2385,2385
USSR77,2381,2381,2381,2381,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2388,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2380,2384,2384,2384
asu202,2325,2325,2341,2340,2352,2356,2356,2356,2356,2367,2363,2352,2363,2347,2341,2347,2347,2342,2342,2342,2342,2336,2336,2331,2340,2350,2357,2357,2369,2369,2369
Truemasterme,2373,2377,2377,2385,2355,2355,2355,2355,2355,2355,2362,2362,2362,2362,2362,2362,2362,2366,2366,2366,2366,2366,2366,2366,2368,2368,2368,2368,2368,2368,2368
LithargoelTheThrice,2344,2344,2344,2344,2344,2344,2344,2344,2344,2329,2329,2329,2329,2329,2329,2324,2345,2348,2364,2351,2355,2357,2360,2353,2355,2357,2360,2375,2364,2364,2364
mzmaz,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2408,2408,2408,2408,2408,2408,2408,2388,2388,2357,2357,2357,2357,2357,2357,2357
uzkuzk,2308,2303,2302,2308,2300,2300,2300,2300,2300,2306,2306,2298,2303,2302,2298,2298,2298,2303,2308,2306,2299,2310,2310,2317,2333,2334,2330,2340,2346,2351,2355
Mrthedevil123,2325,2325,2310,2310,2310,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2332,2332,2332,2332,2332,2332,2332,2343,2343,2354,2354,2354
Kung_Fu_Panda3,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2352,2352,2352,2352,2352,2352,2352
zyx11223,2338,2338,2338,2338,2338,2338,2338,2338,2342,2342,2342,2342,2342,2342,2342,2342,2342,2346,2349,2349,2349,2349,2349,2349,2342,2342,2342,2342,2342,2348,2348
Nervioso79,2336,2342,2309,2265,2291,2298,2298,2298,2308,2316,2330,2316,2319,2319,2295,2305,2309,2311,2323,2324,2324,2324,2324,2330,2342,2355,2357,2338,2338,2341,2341
modernpetrosian,2333,2333,2333,2339,2353,2343,2358,2358,2358,2369,2353,2360,2368,2372,2377,2361,2361,2361,2361,2361,2348,2348,2348,2348,2348,2355,2334,2336,2345,2337,2337
Maruti80,2299,2299,2345,2294,2303,2303,2336,2336,2336,2336,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2363,2348,2354,2331,2331,2331,2331,2336
avcs,2310,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2315,2314,2304,2314,2327,2327,2327,2315,2326,2313,2313,2313,2313,2324,2324,2334
daaleksandrov,2341,2341,2347,2347,2347,2335,2335,2335,2335,2335,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341,2334,2334,2334,2334,2334,2334,2334,2334
verybadchess,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2358,2334,2334,2334,2334
ChessInsomniac,2304,2304,2301,2301,2301,2301,2301,2305,2311,2311,2311,2311,2311,2311,2311,2314,2314,2314,2314,2323,2323,2323,2320,2320,2320,2320,2320,2320,2330,2330,2330
asm2020,2287,2295,2304,2307,2313,2313,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329,2336,2336,2336,2317,2321,2327,2327,2327,2330,2330,2330,2330
chesspawnrookking,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2327,2327,2327,2327,2327,2327,2328,2328,2328,2328
Rooliz,2039,2039,2039,2108,2208,2240,2216,2249,2250,2250,2250,2282,2266,2304,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2325,2325,2325,2325,2325
Rajibmr,2244,2247,2247,2251,2261,2261,2252,2261,2270,2270,2281,2299,2302,2302,2302,2302,2302,2307,2302,2305,2308,2308,2308,2312,2315,2315,2324,2324,2324,2324,2324
HooCee,2311,2311,2311,2311,2331,2295,2326,2319,2321,2321,2321,2321,2321,2321,2321,2323,2331,2331,2331,2331,2321,2321,2321,2321,2321,2321,2321,2327,2320,2320,2320
Savateyev,2276,2276,2276,2276,2276,2276,2280,2280,2280,2296,2296,2314,2314,2314,2314,2314,2314,2298,2298,2298,2298,2304,2304,2318,2318,2318,2318,2318,2318,2318,2318
Hematom87,2282,2282,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2312,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318
Antonovsky4,2298,2298,2298,2287,2287,2287,2287,2281,2281,2281,2294,2285,2285,2285,2285,2285,2285,2285,2285,2285,2296,2296,2296,2296,2296,2296,2309,2309,2309,2309,2309
Glasslinger,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2308,2308,2308
p0uss1_dassaut64096,2306,2316,2304,2311,2315,2308,2314,2303,2292,2299,2302,2291,2296,2298,2298,2298,2298,2298,2298,2298,2298,2298,2297,2297,2297,2299,2298,2303,2310,2307,2307
MarregZ,2276,2280,2287,2287,2287,2287,2289,2289,2267,2270,2273,2273,2273,2273,2275,2277,2277,2277,2277,2281,2288,2288,2294,2300,2300,2305,2305,2305,2305,2305,2305
SFKu20Br3,2281,2267,2267,2277,2272,2279,2284,2286,2286,2286,2286,2286,2286,2286,2286,2286,2291,2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,2301,2305,2305,2305
Ajib_LCKB,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2158,2304,2304,2304,2304,2304
